center_id,district,crop,farmers_arrived,farmers_processed,queue_length,number_of_counters,average_processing_time,arrival_rate,hour,day_of_week,is_weekend,is_holiday,waiting_time
C005,Nashik,Mustard,41,29,12,3,8.0,4.45,12,1,0,0,39.4
C005,Nashik,Soybean,55,43,12,6,4.0,4.55,17,1,0,0,7.9
C004,Sehore,Paddy,43,27,16,4,4.0,9.86,10,5,0,0,16.3
C003,Indore,Soybean,34,20,14,2,6.0,7.55,13,2,0,0,55.1
C001,Karnal,Soybean,42,31,11,5,7.0,5.94,14,2,0,0,19.0
C004,Sehore,Gram,38,9,29,3,5.0,8.39,8,2,0,1,41.2
C001,Karnal,Wheat,40,15,25,4,5.0,7.86,16,0,1,0,40.9
C004,Sehore,Maize,57,15,42,2,7.0,6.86,14,1,0,0,188.1
C002,Ludhiana,Soybean,64,47,17,6,8.0,4.25,11,0,1,0,34.9
C004,Sehore,Paddy,33,32,1,2,6.0,2.7,18,5,0,0,1.9
C001,Karnal,Paddy,41,35,6,3,6.0,8.75,12,6,1,0,17.9
C003,Indore,Wheat,40,28,12,6,7.0,9.08,13,1,0,0,18.0
C004,Sehore,Mustard,45,8,37,3,6.0,3.21,18,0,1,0,88.9
C005,Nashik,Soybean,44,8,36,6,5.0,8.73,16,3,0,0,35.1
C004,Sehore,Gram,30,10,20,3,7.0,5.16,8,4,0,0,49.1
C005,Nashik,Maize,41,33,8,6,5.0,3.38,10,1,0,0,6.1
C004,Sehore,Wheat,55,14,41,5,5.0,8.67,12,2,0,0,57.8
C001,Karnal,Wheat,66,40,26,5,8.0,4.61,12,4,0,0,56.6
C005,Nashik,Gram,39,31,8,6,7.0,3.2,17,4,0,0,12.2
C001,Karnal,Wheat,58,39,19,6,4.0,9.04,14,2,0,0,18.1
C005,Nashik,Soybean,48,30,18,2,5.0,3.15,17,5,0,0,45.3
C003,Indore,Maize,53,22,31,3,4.0,9.18,8,2,0,0,44.3
C003,Indore,Soybean,33,24,9,2,5.0,9.79,15,6,1,0,26.0
C004,Sehore,Gram,47,18,29,2,5.0,9.31,14,5,0,0,94.2
C003,Indore,Wheat,29,24,5,6,5.0,7.68,14,1,0,0,5.9
C005,Nashik,Wheat,21,8,13,3,5.0,4.0,15,0,1,0,27.3
C003,Indore,Mustard,71,45,26,5,8.0,9.38,18,0,1,0,50.9
C004,Sehore,Paddy,63,27,36,5,8.0,4.75,12,5,0,0,74.7
C001,Karnal,Soybean,55,18,37,2,5.0,8.86,18,1,0,0,96.0
C004,Sehore,Gram,44,13,31,2,4.0,7.18,17,6,1,0,74.0
C003,Indore,Maize,52,27,25,4,7.0,5.67,11,3,0,0,57.8
C005,Nashik,Soybean,38,37,1,6,4.0,10.0,13,4,0,0,1.4
C003,Indore,Maize,31,26,5,2,7.0,9.91,18,2,0,0,17.1
C003,Indore,Paddy,24,8,16,3,8.0,8.44,17,3,0,0,45.3
C001,Karnal,Maize,48,31,17,5,6.0,5.24,8,4,0,0,22.7
C002,Ludhiana,Mustard,76,35,41,3,8.0,9.25,18,2,0,0,115.6
C005,Nashik,Paddy,44,13,31,4,4.0,7.93,16,6,1,0,41.2
C003,Indore,Maize,42,19,23,2,5.0,7.95,12,3,0,0,74.0
C003,Indore,Gram,43,35,8,4,7.0,2.43,18,4,0,0,15.4
C004,Sehore,Paddy,73,29,44,6,4.0,6.24,14,0,1,0,46.0
C002,Ludhiana,Mustard,44,14,30,5,8.0,4.53,10,6,1,0,58.1
C002,Ludhiana,Mustard,51,22,29,2,4.0,3.68,10,4,0,0,61.4
C001,Karnal,Paddy,73,32,41,6,7.0,5.23,15,3,0,1,43.3
C003,Indore,Wheat,19,6,13,4,8.0,7.41,18,5,0,0,28.3
C003,Indore,Mustard,62,37,25,3,4.0,6.71,10,0,1,0,40.5
C003,Indore,Soybean,60,26,34,6,8.0,5.47,18,1,0,0,51.0
C003,Indore,Paddy,21,19,2,3,7.0,3.79,10,1,0,0,5.3
C002,Ludhiana,Wheat,70,45,25,4,4.0,4.05,16,4,0,1,25.0
C001,Karnal,Maize,57,12,45,2,4.0,5.33,14,0,1,0,134.7
C002,Ludhiana,Paddy,74,47,27,2,6.0,2.81,16,2,0,0,85.0
C004,Sehore,Wheat,31,23,8,6,8.0,2.91,9,3,0,0,10.4
C003,Indore,Gram,50,23,27,3,6.0,3.28,16,3,0,0,58.0
C004,Sehore,Mustard,48,47,1,3,4.0,2.71,9,6,1,0,1.6
C001,Karnal,Gram,63,46,17,2,4.0,3.85,12,2,0,0,42.9
C002,Ludhiana,Wheat,69,25,44,4,6.0,5.41,9,0,1,0,82.7
C001,Karnal,Paddy,56,33,23,3,6.0,9.64,12,5,0,0,61.5
C002,Ludhiana,Wheat,52,22,30,5,7.0,8.69,15,6,1,0,53.4
C002,Ludhiana,Wheat,22,11,11,3,4.0,5.33,17,3,0,0,16.7
C002,Ludhiana,Gram,46,6,40,5,6.0,8.9,10,3,0,0,51.3
C004,Sehore,Soybean,63,46,17,2,4.0,4.51,18,4,0,0,36.3
C005,Nashik,Paddy,83,49,34,4,8.0,7.6,9,3,0,0,71.1
C003,Indore,Maize,80,44,36,5,5.0,2.44,18,1,0,0,40.2
C004,Sehore,Paddy,41,20,21,2,7.0,4.65,12,0,1,0,108.4
C004,Sehore,Soybean,63,33,30,3,4.0,8.41,15,0,1,0,49.4
C001,Karnal,Soybean,57,31,26,2,4.0,2.29,16,0,1,0,64.1
C005,Nashik,Maize,54,18,36,4,8.0,7.24,15,2,0,0,74.5
C002,Ludhiana,Soybean,83,43,40,4,8.0,5.79,18,2,0,0,83.3
C002,Ludhiana,Wheat,64,23,41,4,6.0,6.38,13,5,0,0,83.4
C004,Sehore,Paddy,61,44,17,5,4.0,3.57,9,6,1,0,17.5
C002,Ludhiana,Maize,34,7,27,4,4.0,9.41,18,4,0,0,31.8
C004,Sehore,Maize,45,36,9,6,8.0,2.03,8,4,0,0,14.4
C004,Sehore,Gram,25,13,12,3,8.0,2.83,18,4,0,0,32.7
C004,Sehore,Soybean,48,30,18,6,5.0,9.71,12,3,0,0,19.5
C005,Nashik,Maize,85,40,45,6,6.0,8.89,16,5,0,0,49.2
C003,Indore,Maize,58,16,42,4,5.0,6.03,18,2,0,0,58.6
C005,Nashik,Soybean,93,50,43,6,8.0,5.34,16,2,0,0,62.2
C001,Karnal,Gram,39,14,25,2,4.0,2.42,8,1,0,0,54.1
C003,Indore,Maize,53,49,4,4,5.0,8.27,11,6,1,0,7.1
C004,Sehore,Wheat,61,46,15,6,8.0,6.49,11,4,0,0,28.0
C003,Indore,Maize,56,31,25,2,7.0,9.65,18,2,0,0,88.7
C003,Indore,Paddy,60,45,15,6,7.0,7.64,18,2,0,0,19.5
C005,Nashik,Paddy,45,16,29,3,6.0,9.87,9,1,0,0,62.4
C001,Karnal,Soybean,58,40,18,2,7.0,4.11,10,4,0,0,63.2
C004,Sehore,Maize,35,25,10,3,4.0,6.78,18,4,0,0,13.7
C005,Nashik,Gram,59,38,21,4,4.0,3.76,10,4,0,0,23.5
C004,Sehore,Gram,33,27,6,6,7.0,3.77,11,5,0,0,8.9
C002,Ludhiana,Gram,82,46,36,6,7.0,2.07,18,2,0,0,47.9
C005,Nashik,Gram,69,25,44,3,4.0,5.05,9,3,0,0,64.8
C001,Karnal,Gram,66,33,33,4,8.0,5.89,12,5,0,0,86.5
C001,Karnal,Paddy,46,45,1,6,8.0,2.52,18,5,0,0,2.9
C004,Sehore,Wheat,77,32,45,3,8.0,7.17,9,5,0,0,123.5
C003,Indore,Wheat,20,16,4,2,4.0,8.35,16,0,1,0,8.6
C003,Indore,Soybean,71,30,41,5,7.0,5.46,8,3,0,0,62.5
C005,Nashik,Wheat,54,9,45,6,4.0,4.86,16,0,1,0,40.6
C005,Nashik,Wheat,55,30,25,4,7.0,8.58,8,3,0,0,45.6
C004,Sehore,Gram,68,48,20,4,5.0,9.1,18,2,0,0,25.4
C005,Nashik,Paddy,42,41,1,2,4.0,6.77,16,4,0,0,1.3
C003,Indore,Paddy,25,15,10,5,8.0,3.47,17,6,1,0,18.1
C005,Nashik,Wheat,82,40,42,6,7.0,2.59,18,0,1,0,60.2
C005,Nashik,Soybean,56,47,9,4,6.0,7.24,9,2,0,0,16.2
C003,Indore,Soybean,87,47,40,5,6.0,4.45,17,1,0,0,52.3
C003,Indore,Soybean,41,20,21,3,4.0,8.29,18,3,0,0,30.0
C003,Indore,Soybean,47,24,23,5,7.0,5.9,9,1,0,0,33.3
C003,Indore,Paddy,62,45,17,6,5.0,2.61,9,0,1,0,18.9
C005,Nashik,Gram,21,7,14,5,8.0,6.41,16,4,0,0,25.2
C003,Indore,Soybean,32,13,19,3,8.0,5.72,16,0,1,0,60.6
C002,Ludhiana,Gram,42,33,9,3,8.0,3.27,17,4,0,0,27.0
C004,Sehore,Mustard,51,19,32,2,5.0,2.5,13,1,0,1,82.7
C003,Indore,Soybean,10,7,3,5,7.0,9.84,13,0,1,0,6.5
C003,Indore,Maize,76,41,35,4,8.0,3.39,18,3,0,0,74.8
C001,Karnal,Gram,53,38,15,4,7.0,5.25,13,3,0,0,36.2
C001,Karnal,Gram,30,19,11,3,7.0,2.62,18,2,0,0,25.7
C003,Indore,Gram,53,26,27,2,5.0,7.76,15,5,0,0,69.6
C002,Ludhiana,Maize,23,7,16,5,4.0,3.02,17,1,0,0,14.8
C005,Nashik,Paddy,33,16,17,2,5.0,6.13,14,4,0,0,55.7
C003,Indore,Wheat,74,35,39,3,7.0,8.94,10,1,0,0,96.1
C005,Nashik,Paddy,32,15,17,6,8.0,7.79,13,3,0,0,28.6
C004,Sehore,Soybean,19,17,2,3,4.0,6.18,16,5,0,0,1.5
C001,Karnal,Paddy,46,7,39,5,8.0,9.02,16,4,0,0,65.5
C002,Ludhiana,Gram,90,46,44,6,4.0,5.45,14,2,0,0,42.7
C004,Sehore,Paddy,65,42,23,5,7.0,8.44,17,0,1,0,38.8
C002,Ludhiana,Wheat,66,31,35,4,8.0,4.06,8,5,0,0,72.2
C005,Nashik,Wheat,71,46,25,6,4.0,3.64,13,3,0,0,22.5
C005,Nashik,Mustard,69,41,28,4,8.0,4.93,12,5,0,0,72.2
C005,Nashik,Gram,64,40,24,5,5.0,6.44,12,2,0,0,34.0
C004,Sehore,Maize,48,33,15,3,4.0,8.26,10,0,1,0,24.4
C003,Indore,Gram,40,29,11,6,4.0,9.72,8,6,1,0,8.3
C005,Nashik,Soybean,36,19,17,2,4.0,4.97,17,0,1,0,42.9
C004,Sehore,Gram,47,8,39,6,6.0,9.57,10,5,0,0,41.7
C005,Nashik,Mustard,76,37,39,3,4.0,6.13,11,4,0,0,67.8
C002,Ludhiana,Maize,28,22,6,2,5.0,8.24,13,5,0,0,19.8
C005,Nashik,Wheat,59,23,36,2,4.0,7.81,16,4,0,0,78.2
C003,Indore,Paddy,60,30,30,6,5.0,6.6,12,1,0,0,33.3
C001,Karnal,Gram,45,37,8,4,6.0,9.65,16,6,1,0,13.8
C004,Sehore,Soybean,42,26,16,6,7.0,9.69,15,5,0,0,20.9
C001,Karnal,Soybean,34,29,5,2,6.0,7.07,11,5,0,0,20.6
C004,Sehore,Mustard,50,49,1,6,8.0,8.66,11,2,0,0,2.5
C003,Indore,Wheat,56,25,31,6,5.0,4.83,17,2,0,0,30.5
C002,Ludhiana,Soybean,37,21,16,3,5.0,3.65,11,6,1,0,40.7
C002,Ludhiana,Wheat,91,47,44,2,4.0,5.94,8,6,1,0,108.3
C004,Sehore,Mustard,73,41,32,6,6.0,8.95,15,1,0,0,37.5
C003,Indore,Soybean,17,8,9,3,8.0,6.21,14,3,0,0,29.2
C003,Indore,Soybean,57,49,8,3,7.0,6.15,13,5,0,1,20.3
C004,Sehore,Gram,68,44,24,2,6.0,8.89,10,4,0,0,74.0
C005,Nashik,Mustard,64,32,32,4,5.0,3.68,13,2,0,0,53.0
C002,Ludhiana,Gram,63,19,44,3,8.0,8.51,12,6,1,0,173.7
C004,Sehore,Paddy,36,5,31,3,5.0,3.41,15,1,0,0,56.8
C005,Nashik,Gram,41,21,20,4,7.0,6.5,17,0,1,0,43.4
C001,Karnal,Paddy,52,11,41,4,7.0,5.6,13,2,0,0,94.8
C003,Indore,Mustard,35,27,8,2,7.0,8.94,17,1,0,0,29.6
C005,Nashik,Paddy,69,48,21,4,6.0,6.08,15,0,1,0,37.9
C002,Ludhiana,Paddy,85,44,41,4,7.0,6.57,9,0,1,0,86.3
C003,Indore,Maize,85,46,39,4,6.0,5.16,15,6,1,0,71.4
C005,Nashik,Gram,27,16,11,5,7.0,8.83,10,5,0,0,15.7
C001,Karnal,Paddy,18,11,7,3,7.0,2.51,15,4,0,0,18.3
C005,Nashik,Wheat,54,14,40,2,6.0,2.67,14,2,0,0,155.8
C004,Sehore,Maize,49,15,34,3,5.0,2.23,18,2,0,0,60.0
C004,Sehore,Soybean,69,33,36,6,6.0,3.08,16,1,0,0,40.1
C005,Nashik,Soybean,47,27,20,6,8.0,5.85,11,6,1,0,40.0
C004,Sehore,Mustard,6,5,1,3,6.0,6.19,10,2,0,0,2.3
C004,Sehore,Soybean,51,23,28,4,4.0,6.78,8,4,0,0,31.0
C005,Nashik,Soybean,61,50,11,5,5.0,7.9,14,6,1,0,16.2
C004,Sehore,Maize,89,49,40,3,8.0,7.48,12,5,0,0,139.4
C004,Sehore,Paddy,32,23,9,2,5.0,2.88,15,4,0,0,24.4
C004,Sehore,Paddy,18,8,10,4,4.0,9.76,8,1,0,0,10.3
C002,Ludhiana,Maize,25,10,15,5,4.0,3.21,15,1,0,0,13.0
C004,Sehore,Mustard,32,10,22,5,4.0,8.75,10,0,1,0,22.4
C005,Nashik,Soybean,46,29,17,3,5.0,8.63,9,6,1,0,34.2
C004,Sehore,Paddy,41,11,30,2,5.0,6.17,11,3,0,0,99.2
C003,Indore,Paddy,46,12,34,2,8.0,4.03,18,2,0,0,141.6
C002,Ludhiana,Wheat,26,5,21,3,7.0,3.34,12,4,0,0,64.9
C001,Karnal,Wheat,88,43,45,6,7.0,3.24,9,1,0,0,56.3
C005,Nashik,Mustard,69,46,23,2,4.0,3.23,16,6,1,0,55.6
C003,Indore,Gram,19,6,13,4,7.0,7.51,13,5,0,0,31.6
C004,Sehore,Maize,58,39,19,5,8.0,7.58,11,4,0,0,39.7
C004,Sehore,Mustard,20,9,11,6,8.0,6.25,15,2,0,0,16.2
C004,Sehore,Wheat,18,6,12,6,7.0,6.96,13,6,1,0,20.8
C001,Karnal,Maize,51,38,13,6,7.0,7.47,16,1,0,0,16.0
C003,Indore,Wheat,52,9,43,2,8.0,2.35,10,1,0,0,176.0
C004,Sehore,Paddy,83,46,37,2,4.0,8.69,18,3,0,0,79.2
C003,Indore,Wheat,89,50,39,4,5.0,2.57,11,5,0,0,67.2
C001,Karnal,Soybean,67,31,36,2,6.0,8.58,8,6,1,0,128.6
C001,Karnal,Mustard,45,11,34,2,5.0,2.81,11,4,0,0,109.1
C002,Ludhiana,Gram,67,31,36,3,8.0,7.97,18,4,0,0,100.2
C004,Sehore,Wheat,66,30,36,3,5.0,6.04,18,1,0,0,64.7
C003,Indore,Mustard,55,31,24,6,6.0,8.11,14,6,1,0,37.8
C005,Nashik,Gram,57,21,36,3,7.0,4.88,15,3,0,0,86.3
C001,Karnal,Mustard,47,13,34,6,4.0,9.95,12,0,1,0,35.6
C003,Indore,Wheat,73,40,33,4,8.0,6.57,17,1,0,0,69.8
C002,Ludhiana,Paddy,58,20,38,4,6.0,3.86,12,0,1,0,86.8
C002,Ludhiana,Maize,47,16,31,2,6.0,5.91,17,6,1,0,111.1
C003,Indore,Wheat,14,8,6,6,7.0,9.37,13,2,0,0,9.2
C001,Karnal,Paddy,86,45,41,6,4.0,5.06,12,4,0,1,32.4
C002,Ludhiana,Mustard,18,8,10,6,5.0,7.39,14,3,0,0,11.9
C001,Karnal,Paddy,40,14,26,5,6.0,3.06,9,3,0,0,32.5
C004,Sehore,Mustard,65,32,33,2,7.0,8.19,10,6,1,0,137.0
C004,Sehore,Soybean,80,44,36,6,5.0,9.98,16,1,0,0,33.4
C004,Sehore,Mustard,55,47,8,6,4.0,5.31,13,2,0,0,7.0
C001,Karnal,Mustard,73,33,40,3,6.0,6.99,15,0,1,0,95.7
C003,Indore,Paddy,24,20,4,2,4.0,9.59,10,6,1,0,8.8
C003,Indore,Maize,64,35,29,2,6.0,2.18,11,5,0,0,111.0
C005,Nashik,Mustard,54,14,40,6,7.0,7.56,18,0,1,0,60.1
C005,Nashik,Wheat,27,23,4,4,5.0,3.61,17,2,0,0,6.1
C001,Karnal,Wheat,90,47,43,5,6.0,4.88,9,0,1,0,66.0
C004,Sehore,Paddy,32,25,7,5,8.0,5.88,17,4,0,0,10.8
C004,Sehore,Gram,54,38,16,2,4.0,4.44,15,3,0,0,32.0
C003,Indore,Mustard,55,22,33,4,5.0,8.5,18,2,0,0,46.8
C001,Karnal,Gram,36,26,10,4,5.0,9.18,18,1,0,0,13.2
C005,Nashik,Maize,57,41,16,3,7.0,3.22,12,4,0,0,48.8
C002,Ludhiana,Maize,83,48,35,3,8.0,8.4,10,2,0,0,99.1
C002,Ludhiana,Soybean,36,25,11,3,8.0,2.54,16,5,0,0,29.9
C002,Ludhiana,Maize,58,31,27,2,6.0,4.43,18,5,0,0,85.4
C001,Karnal,Paddy,84,44,40,3,4.0,4.13,17,4,0,0,57.1
C001,Karnal,Mustard,46,37,9,2,7.0,8.77,15,5,0,0,31.3
C004,Sehore,Soybean,28,17,11,5,5.0,3.81,14,6,1,0,18.8
C004,Sehore,Paddy,21,16,5,3,5.0,9.42,15,6,1,0,10.9
C004,Sehore,Paddy,46,43,3,5,7.0,7.88,14,5,0,0,6.1
C005,Nashik,Gram,92,50,42,6,8.0,8.3,16,0,1,0,70.7
C001,Karnal,Paddy,33,7,26,6,8.0,6.46,16,6,1,0,41.2
C003,Indore,Soybean,53,34,19,5,6.0,3.33,12,4,0,0,31.5
C002,Ludhiana,Soybean,45,12,33,5,4.0,3.44,17,5,0,0,29.9
C003,Indore,Soybean,72,42,30,2,5.0,9.17,11,3,0,0,96.6
C002,Ludhiana,Maize,58,50,8,2,4.0,5.6,13,0,1,0,23.5
C005,Nashik,Gram,65,29,36,3,7.0,2.35,10,2,0,0,89.0
C002,Ludhiana,Paddy,35,31,4,3,5.0,4.46,15,2,0,0,5.6
C002,Ludhiana,Paddy,22,5,17,2,8.0,5.67,15,4,0,0,70.5
C004,Sehore,Paddy,78,35,43,3,8.0,5.63,15,0,1,0,135.1
C005,Nashik,Mustard,22,8,14,6,8.0,3.48,8,5,0,0,18.9
C001,Karnal,Maize,46,26,20,6,8.0,9.36,8,0,1,0,31.8
C003,Indore,Gram,52,16,36,6,8.0,9.73,17,2,0,0,50.7
C003,Indore,Mustard,37,32,5,4,7.0,8.75,9,2,0,0,7.8
C003,Indore,Mustard,52,18,34,6,7.0,7.57,17,0,1,0,50.6
C005,Nashik,Wheat,51,32,19,5,8.0,6.87,13,2,0,0,42.3
C003,Indore,Paddy,70,38,32,6,8.0,7.83,15,3,0,0,48.0
C002,Ludhiana,Maize,13,12,1,4,5.0,2.19,18,6,1,0,2.9
C005,Nashik,Soybean,49,27,22,5,4.0,6.48,18,1,0,1,15.5
C003,Indore,Mustard,57,37,20,2,6.0,6.4,8,0,1,0,70.8
C005,Nashik,Gram,39,26,13,2,5.0,8.67,18,3,0,0,35.2
C002,Ludhiana,Soybean,61,26,35,3,7.0,5.7,14,5,0,0,106.4
C005,Nashik,Maize,41,6,35,4,8.0,3.67,18,2,0,0,75.8
C003,Indore,Wheat,28,26,2,3,6.0,9.87,18,4,0,0,4.5
C004,Sehore,Paddy,70,50,20,6,4.0,8.86,8,2,0,0,15.7
C002,Ludhiana,Mustard,52,38,14,5,6.0,4.42,9,2,0,0,19.6
C001,Karnal,Soybean,68,37,31,6,4.0,3.23,13,3,0,0,29.6
C003,Indore,Paddy,57,13,44,2,8.0,3.64,8,3,0,0,182.7
C001,Karnal,Wheat,87,43,44,4,4.0,8.98,13,3,0,0,58.7
C003,Indore,Wheat,59,18,41,6,6.0,4.57,11,2,0,0,55.4
C004,Sehore,Maize,25,15,10,2,6.0,4.19,8,4,0,0,29.6
C005,Nashik,Mustard,32,14,18,6,6.0,9.55,12,4,0,0,22.9
C005,Nashik,Mustard,17,13,4,6,7.0,2.23,18,0,1,0,4.1
C004,Sehore,Soybean,83,45,38,3,8.0,8.69,15,4,0,0,105.2
C002,Ludhiana,Maize,71,41,30,6,4.0,3.05,15,0,1,0,27.3
C004,Sehore,Soybean,54,44,10,3,5.0,4.06,13,3,0,0,23.7
C003,Indore,Mustard,11,9,2,5,7.0,5.8,13,3,0,0,2.4
C003,Indore,Gram,44,11,33,6,5.0,5.25,9,2,0,0,29.7
C003,Indore,Gram,69,31,38,5,7.0,3.91,11,4,0,0,71.0
C001,Karnal,Mustard,60,32,28,3,8.0,6.54,13,4,0,0,95.4
C001,Karnal,Maize,50,42,8,6,7.0,6.77,13,4,0,0,12.4
C003,Indore,Soybean,55,48,7,2,8.0,8.51,14,2,0,0,36.5
C001,Karnal,Paddy,46,5,41,3,8.0,8.06,18,1,0,0,113.4
C005,Nashik,Gram,62,48,14,5,5.0,9.02,12,4,0,0,19.9
C004,Sehore,Maize,43,5,38,4,4.0,6.89,16,3,0,0,44.0
C001,Karnal,Mustard,51,50,1,6,4.0,6.48,13,0,1,0,2.5
C002,Ludhiana,Soybean,66,25,41,6,7.0,7.69,14,3,0,0,63.6
C002,Ludhiana,Soybean,65,29,36,3,5.0,8.75,13,6,1,0,89.7
C002,Ludhiana,Paddy,48,6,42,2,4.0,3.15,15,5,0,0,91.0
C001,Karnal,Paddy,88,43,45,5,7.0,9.44,17,1,0,0,68.1
C004,Sehore,Soybean,44,32,12,4,5.0,6.84,17,3,0,0,15.4
C005,Nashik,Mustard,65,28,37,5,8.0,2.27,8,4,0,0,63.1
C005,Nashik,Soybean,56,22,34,2,5.0,5.72,9,4,0,0,87.4
C004,Sehore,Maize,62,24,38,2,8.0,6.9,13,4,0,0,194.4
C005,Nashik,Soybean,54,27,27,6,6.0,9.68,12,2,0,0,37.8
C005,Nashik,Maize,25,8,17,4,8.0,7.03,17,1,0,0,36.7
C003,Indore,Maize,55,36,19,6,4.0,2.66,16,0,1,0,16.0
C002,Ludhiana,Gram,22,5,17,4,6.0,7.93,17,1,0,0,28.5
C004,Sehore,Mustard,65,20,45,3,6.0,5.88,16,6,1,0,110.8
C002,Ludhiana,Gram,56,29,27,3,7.0,3.9,15,5,0,0,65.1
C003,Indore,Wheat,19,15,4,4,4.0,5.71,15,2,0,0,6.3
C005,Nashik,Paddy,52,21,31,5,7.0,3.16,14,0,1,0,67.3
C004,Sehore,Maize,51,7,44,4,8.0,2.78,16,5,0,0,94.7
C005,Nashik,Maize,40,22,18,4,6.0,8.42,12,5,0,0,35.8
C002,Ludhiana,Maize,60,26,34,6,5.0,7.42,10,2,0,0,33.1
C001,Karnal,Wheat,45,11,34,5,4.0,7.48,13,1,0,0,37.1
C001,Karnal,Wheat,47,43,4,6,4.0,7.25,11,4,0,0,4.6
C001,Karnal,Wheat,72,47,25,6,5.0,8.11,18,4,0,0,22.6
C001,Karnal,Maize,53,34,19,3,6.0,7.28,9,5,0,0,42.3
C004,Sehore,Maize,20,9,11,4,6.0,4.22,8,3,0,0,19.8
C003,Indore,Mustard,41,36,5,3,7.0,9.84,11,4,0,0,15.8
C001,Karnal,Paddy,58,44,14,6,7.0,7.15,15,5,0,0,16.2
C001,Karnal,Gram,38,36,2,4,7.0,3.19,18,0,1,0,4.9
C003,Indore,Paddy,42,5,37,4,7.0,6.12,15,3,0,0,70.6
C001,Karnal,Gram,74,49,25,3,4.0,8.54,15,0,1,0,43.1
C003,Indore,Mustard,49,45,4,4,7.0,9.98,18,0,1,0,9.9
C003,Indore,Wheat,59,17,42,5,6.0,3.41,8,3,0,0,54.6
C004,Sehore,Wheat,51,45,6,4,7.0,5.5,11,1,0,1,9.3
C005,Nashik,Paddy,44,39,5,5,7.0,7.15,15,4,0,0,8.8
C001,Karnal,Wheat,29,7,22,4,4.0,5.24,11,6,1,0,34.4
C005,Nashik,Paddy,12,7,5,6,5.0,7.88,15,5,0,1,5.6
C005,Nashik,Wheat,17,16,1,3,5.0,7.06,12,6,1,0,2.3
C002,Ludhiana,Gram,44,36,8,2,4.0,6.76,17,1,0,0,15.8
C003,Indore,Maize,56,48,8,5,6.0,6.61,10,2,0,0,11.7
C001,Karnal,Gram,17,12,5,3,6.0,4.19,14,1,0,0,13.3
C004,Sehore,Paddy,20,11,9,6,4.0,8.33,18,4,0,0,5.7
C004,Sehore,Wheat,22,10,12,2,4.0,7.65,17,2,0,0,26.7
C004,Sehore,Maize,55,45,10,3,5.0,4.17,15,3,0,0,16.6
C001,Karnal,Gram,50,10,40,3,7.0,7.02,12,2,0,0,121.7
C002,Ludhiana,Wheat,68,28,40,6,4.0,8.9,16,4,0,0,32.5
C002,Ludhiana,Mustard,22,14,8,2,5.0,7.48,15,3,0,0,21.6
C001,Karnal,Wheat,46,32,14,4,6.0,4.01,17,6,1,0,25.6
C001,Karnal,Maize,27,15,12,2,8.0,8.28,15,4,0,0,51.0
C004,Sehore,Gram,44,17,27,6,6.0,7.98,13,1,0,0,36.3
C001,Karnal,Paddy,44,19,25,5,5.0,2.59,17,3,0,0,27.7
C002,Ludhiana,Gram,53,28,25,5,5.0,3.09,11,5,0,0,33.3
C003,Indore,Paddy,26,22,4,2,8.0,3.09,15,3,0,0,17.5
C002,Ludhiana,Mustard,85,44,41,6,5.0,9.24,17,4,0,0,37.4
C005,Nashik,Soybean,65,34,31,3,8.0,4.23,14,5,0,0,106.0
C004,Sehore,Gram,51,41,10,3,8.0,9.19,14,0,1,0,39.4
C005,Nashik,Wheat,61,35,26,5,8.0,8.48,9,3,0,0,43.1
C001,Karnal,Maize,36,27,9,5,5.0,4.37,18,0,1,0,12.1
C002,Ludhiana,Maize,44,6,38,5,8.0,9.81,15,6,1,0,75.3
C002,Ludhiana,Mustard,50,9,41,5,4.0,5.08,13,4,0,1,37.4
C003,Indore,Maize,55,18,37,6,8.0,8.3,9,4,0,0,54.7
C001,Karnal,Gram,37,29,8,4,4.0,4.92,17,0,1,0,8.9
C005,Nashik,Maize,27,13,14,2,8.0,9.85,11,4,0,0,71.6
C005,Nashik,Maize,48,27,21,3,5.0,9.18,16,5,0,0,35.7
C003,Indore,Mustard,71,38,33,5,7.0,8.64,15,5,0,0,51.5
C003,Indore,Soybean,93,49,44,6,6.0,8.47,9,1,0,0,49.1
C001,Karnal,Soybean,16,11,5,3,6.0,3.32,9,5,0,0,9.2
C002,Ludhiana,Gram,75,48,27,2,6.0,6.33,10,3,0,0,84.0
C001,Karnal,Mustard,21,19,2,3,4.0,8.68,16,5,0,0,3.2
C003,Indore,Soybean,69,33,36,6,8.0,5.66,17,1,0,0,51.5
C003,Indore,Paddy,27,8,19,5,6.0,3.19,12,3,0,0,31.3
C002,Ludhiana,Maize,28,16,12,6,6.0,8.71,18,6,1,0,14.2
C001,Karnal,Mustard,50,21,29,6,5.0,4.96,11,4,0,0,34.4
C003,Indore,Paddy,50,15,35,4,7.0,6.27,9,0,1,0,74.6
C002,Ludhiana,Soybean,40,39,1,4,5.0,9.8,13,5,0,0,1.6
C003,Indore,Gram,55,26,29,3,8.0,7.51,15,0,1,0,92.6
C003,Indore,Wheat,48,33,15,5,8.0,4.86,13,0,1,0,35.1
C005,Nashik,Paddy,12,10,2,4,5.0,6.31,15,5,0,0,1.1
C005,Nashik,Soybean,64,43,21,3,7.0,6.84,8,5,0,0,50.1
C004,Sehore,Mustard,24,23,1,5,6.0,4.76,12,3,0,0,1
